Class,Accession,Pangolin,Collection_Date,Nuc_Completeness,Host,Length,PangoVersions
0,MZ471646.1,B.1.1.519,2021-03-23,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK435740.1,B.1.1.519,2021-02-07,complete,Homo sapiens,29823,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ202426.1,B.1.1.519,2021-04-15,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW779051.1,B.1.1.519,2021-02-24,complete,Homo sapiens,29903,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW771738.1,B.1.1.519,2021-02-26,complete,Homo sapiens,29896,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK188348.1,B.1.1.519,2021-02-15,complete,Homo sapiens,29867,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ257403.1,B.1.1.519,2021-03-21,complete,Homo sapiens,29899,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ202196.1,B.1.1.519,2021-04-03,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ245676.1,B.1.1.519,2021-03-06,complete,Homo sapiens,29837,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OX900535.1,B.1.1.519,2020,complete,Homo sapiens,29903,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ322783.1,B.1.1.519,2021-05-17,complete,Homo sapiens,29837,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW901696.1,B.1.1.519,2021-03-20,complete,Homo sapiens,29889,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ323690.1,B.1.1.519,2021-05-17,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW850075.1,B.1.1.519,2021-03-06,complete,Homo sapiens,29867,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW673016.1,B.1.1.519,2021-02-07,complete,Homo sapiens,29826,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ281257.1,B.1.1.519,2021-05-04,complete,Homo sapiens,29904,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW631917.1,B.1.1.519,2021-02-07,complete,Homo sapiens,29829,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ202387.1,B.1.1.519,2021-04-06,complete,Homo sapiens,29837,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ058451.1,B.1.1.519,2021-04-07,complete,Homo sapiens,29899,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OL893875.1,B.1.1.519,2021-03-18,complete,Homo sapiens,29817,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ322795.1,B.1.1.519,2021-05-08,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ543355.1,B.1.1.519,2021-04-16,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ058620.1,B.1.1.519,2021-04-09,complete,Homo sapiens,29892,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ203105.1,B.1.1.519,2021-04-17,complete,Homo sapiens,29836,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OK653108.1,B.1.1.519,2021-04-01,complete,Homo sapiens,29798,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ163895.1,B.1.1.519,2021-04-22,complete,Homo sapiens,29830,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ228851.1,B.1.1.519,2021-04-27,complete,Homo sapiens,29828,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,OL369549.1,B.1.1.519,2021-04-27,complete,Homo sapiens,29868,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW851689.1,B.1.1.519,2021-03-07,complete,Homo sapiens,29860,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MW617599.1,B.1.1.519,2021-01-30,complete,Homo sapiens,29842,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,PP605440.1,B.1.1.519,2021-02-23,complete,Homo sapiens,29746,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ213764.1,B.1.1.519,2021-04-13,complete,Homo sapiens,29903,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ201329.1,B.1.1.519,2021-04-25,complete,Homo sapiens,29829,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ259017.1,B.1.1.519,2021-03-01,complete,Homo sapiens,29901,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ226009.1,B.1.1.519,2021-04-28,complete,Homo sapiens,29782,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ000254.1,B.1.1.519,2021-03-25,complete,Homo sapiens,29714,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ295145.1,B.1.1.519,2021-04-13,complete,Homo sapiens,29857,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
0,MZ461065.1,B.1.1.519,2021-05-12,complete,Homo sapiens,29844,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6
